Unnamed: 0.1,Unnamed: 0,country,policy,measures,start_year,status,budget_commitment,title_norm,matched_title,match_score,description,iso3
12,12,United States,Infrastructure and Jobs act: Public Transit Capital Investment GrantsPart ofInfrastructure Investment and Jobs Act,Urban transit,2022,In force,39150,infrastructure and jobs act public transit capital investment grantspart ofinfrastructure investment and jobs act,Infrastructure Investment and Jobs Act,100,"<div>The Infrastructure Investment and Jobs Act <strong>(IIJA) -- also known as the Bipartisan Infrastructure Law (BIL) -- </strong>was designed to grow the economy, enhance competitiveness, create new jobs, and build a more sustainable, resilient, and just economy. <br>The legislation adds USD 550 billion in new spending, coupled with the USD 450 billion already committed, to strengthen domestic infrastructure. Of which, around USD 190 billion is attributable to a sustainable recovery.   </div>",USA
13,13,United States,Infrastructure and Jobs act: Upgrading power infrastructurePart ofInfrastructure Investment and Jobs Act,Transmission,2022,In force,37100,infrastructure and jobs act upgrading power infrastructurepart ofinfrastructure investment and jobs act,Infrastructure Investment and Jobs Act,100,"<div>The Infrastructure Investment and Jobs Act <strong>(IIJA) -- also known as the Bipartisan Infrastructure Law (BIL) -- </strong>was designed to grow the economy, enhance competitiveness, create new jobs, and build a more sustainable, resilient, and just economy. <br>The legislation adds USD 550 billion in new spending, coupled with the USD 450 billion already committed, to strengthen domestic infrastructure. Of which, around USD 190 billion is attributable to a sustainable recovery.   </div>",USA
14,14,People's Republic of China,Renewable Energy Electricity Subsidy for 2023,MultipleShow budget lines,2023,Ended,36811,renewable energy electricity subsidy for 2023,Renewable Energy Electricity Subsidy for 2023,100,"<div>The Chinese government earmarked subsidies for renewable electricity generation (wind, solar and biomass) provided to local public utilities and power generation companies in 2023. The initial budget was enacted end 2022, and additional funding was earmarked in June 2023.</div>",CHN
15,15,Germany,3rd Relief Package,Energy affordabilityShow budget lines,2022,In force,34079,3rd relief package,3rd Relief Package,100,"<div>In order to shield domestic consumers from the effects of the energy crisis, the German government enacted in December 2023 a third relief package notably encompassing the following energy-related measures:</div><div><br></div><ul><li>Postponement of the CO2 price increase</li><li>One-time payment for pensioners in the amount of 300 euros (net)</li><li>One-time payment for students in the amount of 200 euros</li><li>Housing benefit reform</li><li>Heating allowance II</li><li>VAT tax reduction for gas</li></ul>",DEU
16,16,United States,Inflation Reduction Act 2022: Sec. 13502 Advanced Manufacturing Production CreditPart ofInflation Reduction Act of 2022,MultipleShow budget lines,2022,In force,30600,inflation reduction act 2022 sec 13502 advanced manufacturing production creditpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
17,17,United States,Inflation Reduction Act 2022: Sec. 13105 Zero-Emission Nuclear Power Production CreditPart ofInflation Reduction Act of 2022,Nuclear,2022,In force,30000,inflation reduction act 2022 sec 13105 zeroemission nuclear power production creditpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
18,18,Italy,National Recovery and Resilience Plan / M3C1: Rail network and secure roadsPart ofNational Recovery and Resilience Plan,High-speed rail,2021,In force,29295,national recovery and resilience plan m3c1 rail network and secure roadspart ofnational recovery and resilience plan,National Recovery and Resilience Plan,100,"<div>The Italian National Recovery and Resilience Plan has a dedicated fund, comprised of national and REACT-EU funds. The funding allocated to the energy transition and sustainable mobility include: </div><div> </div><div>- M2C1: Sustainable agriculture and circular economy (EUR 6.97 billion)</div><div>- M2C2: Energy transition and sustainable mobility (EUR 25.36 billion)</div><div>- M2C3: Energy efficiency and buildings renovation (EUR 22.24 billion)</div><div>- M3C1: Rail network and secure roads (EUR 27.97 billion)</div>",ITA
19,19,Mexico,2022 Package against inflation & famine - Transport fuel and power subsidies,Energy affordabilityShow budget lines,2022,In force,28208,2022 package against inflation famine transport fuel and power subsidies,2022 Package against inflation & famine - Transport fuel and power subsidies,100,"<div>In an effort to shield domestic consumers from the effect of the global energy crisis, the Mexican government reduced the rate of the Special Tax on Production and Services paid by gasoline sellers and importers from January 2022. The rate reduction, which reached 100% of the tax from March for diesel and gasoline, is implemented through a dedicated subsidy.<br><br>This support measure was confirmed and extended within the framework of the Package Against Inflation and Famine (PACIS) from May 2022 onwards. <br><br>In addition, the government also subsidises electricity rates through a dedicated financial transfer to the Federal Electricity Commission (CFE).</div>",MEX
20,20,Ireland,National Development Plan (NDP) 2021-2030 - Transport,MultipleShow budget lines,2022,In force,27934,national development plan ndp 20212030 transport,National Development Plan (NDP) 2021-2030 - Transport,100,"<div>The Irish Government launched the new National Development Plan (NDP) 2021-2030, which notably aims at cutting emissions in half by 2030, creating a new green and digital economy and fostering related investments. Specific funding is notably allocated to the transport sector- boosting public transport development and decarbonisation, supporting the construction of EV charging infrastructures, walking and cycling infrastructure, as well as to public building energy-efficiency enhancement efforts, and to specific programmes meant to facilitate worker transition to clean energy sectors.</div>",IRL
21,21,Germany,Germany's Special Climate and Transformation Fund - Decarbonisation of the industryPart ofGermany's Special Climate and Transformation Fund,Industry EEShow budget lines,2021,In force,27917,germanys special climate and transformation fund decarbonisation of the industrypart ofgermanys special climate and transformation fund,Germany's Special Climate and Transformation Fund,100,"<div>In 2023, Germany's Federal Cabinet approved the set up of the Special Climate and Transformation Fund ""Klima- und Transformationsfonds (KTF)"" for 2024 - 2027 to support the development and establishment of future technologies and thus Germany's transformation towards a sustainable and climate-neutral economy. The Fund scope and activities were revised after a ruling by the Federal Constitutional Court in December 2023.<br><br></div>",DEU
22,22,Netherlands,"SDE++ Subsidy Fund for CCS projectsPart ofSustainable Energy Transition Scheme (SDE++),Stimulation of sustainable energy production and climate transition (SDE++)andSDE (stimulering duurzame energie): Renewable energy and CHP production aid scheme",CCUSShow budget lines,2020,In force,27100,sde subsidy fund for ccs projectspart ofsustainable energy transition scheme sdestimulation of sustainable energy production and climate transition sdeandsde stimulering duurzame energie renewable energy and chp production aid scheme,SDE (stimulering duurzame energie): Renewable energy and CHP production aid scheme,100,"<p>Following the MEP renewable energy and CHP subsidy schemes, which ended in August 2006, the Dutch government decided on a new target for the reduction of CO2 emissions; 30% CO2 reduction in 2020. In order to meet this target, the reform and continuation of the MEP schemes was decided. The two previous schemes were combined into a new scheme called SDE (stimulering duurzame energie). In August 2007 the Dutch government submitted the scheme for approval under EC Treaty state aid rules. In December the European Commission auhorised the aid scheme, to stimulate production of renewable energy and Combined Heat and Power. The extra available budget for the SDE is estimated at EUR 2,144 million. Unlike the MEP, the SDE is fully financed by direct government support. The regulation was published on 3 March 2008, and subsidy requests can be submitted as of 1 April 2008 from SenterNovem, the Ministry of Economic Affairs agency. Differences from the MEP are that projects are selected through tendering, and that the subsidy amounts will be corrected and vary depending on fossil fuel energy prices. Also, hydro projects are not eligible, though the scheme applies also to biogas. The scheme can be called a ""modified feed-in tariff""; a fixed subsidy is guaranteed, as in a feed-in tariff, with an option for a higher price per kWh if the electricity price goes above the subsidy ceiling. Thus, renewable energy producers are provided a fixed price per kWh. The scheme acts as a premium if the electricity price goes below the feed-in tariff. However, if the market electricity price is at or above the feed-in tariff price, no subsidy is received from the government. For example, the estimated subsidy amount in 2008 for sewage-gas and waste water electricity, as well as high efficiency waste generation is zero, since the wholesale market price is expected to be higher than the estimated cost of production from these technologies. Offshore wind is not eligible for subsidies in 2008 and 2009; the first tender will be in 2010. In addition, annual expenditures are capped by technology. Estimated yearly caps are calculated based on capacity installed and estimated installations from 2008 to 2011. These are: EUR 1 million for biogas from sewage and waste water; EUR 19 million for small-scale PV (0.6 kWp-3.5 kWp); EUR 68 million for biomass CHP, co-digestion of food industry waste and manure; EUR 119 million for off-shore wind; EUR 129 million for on-shore wind. A table of the subsidy amounts according to energy type is available, in Dutch, at: www.ez.nl/dsresource?objectid=155959&amp;type=PDF</p>",NLD
23,23,United States,Inflation Reduction Act 2022: Sec. 60103 Greenhouse Gas Reduction FundPart ofInflation Reduction Act of 2022,MultipleShow budget lines,2022,In force,27000,inflation reduction act 2022 sec 60103 greenhouse gas reduction fundpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
24,24,People's Republic of China,New Energy Vehicle Promotion and Application Subsidy Funds,Low-carbon vehiclesShow budget lines,2020,In force,25747,new energy vehicle promotion and application subsidy funds,New Energy Vehicle Promotion and Application Subsidy Funds ,100,"<div>The Chinese government earmarked a specific budget outlay to promote the adoption of New Energy Vehicles (NEV), including battery electric vehicles, plug-in hybrid vehicles and fuel cell vehicles. Fundings is to be allocated by Provinces to consumers.</div>",CHN
25,25,Italy,"National Recovery and Resilience Plan / M2C2: Renewable energy, hydrogen, grid and sustainable mobilityPart ofNational Recovery and Resilience Plan",MultipleShow budget lines,2021,In force,24578,national recovery and resilience plan m2c2 renewable energy hydrogen grid and sustainable mobilitypart ofnational recovery and resilience plan,National Energy Plan,100,"Italy's basis of energy efficiency is Law No. 10/1991 - ""Regulations for the Implementation of the National Energy Plan with Regard to the Rational Use of Energy, Energy Savings and the Development of Renewable Energy Sources."" It is a framework law to introduce regulations aimed at the efficient use of energy sources in all end-use sectors including the specific reduction of energy consumption in production processes, especially in buildings and heating plants.<br>Law 10/1991, as implemented by Presidential Decree 412/1992 and numerous other decrees and circulars, sets out energy efficiency measures such as:<br>Building standards, including numerous energy efficiency regulations for buildings;<br>Rules for the design, installation and operation of thermal systems in buildings; and<br>Technical and constructive criteria for new public and private buildings, as well as restorations. This regulatory system was revised in accordance with the implementation of the EU Directive on the Energy Performance of Buildings.<br>Inspection of boilers, including regulations limiting energy consumption with special reference to the design, installation, running and maintenance of heating plants. The programme, begun in 1994, requires plants to be inspected every one or two years depending on the size of the boiler. Air temperature in heated buildings must be 20 °C + 2 °C. Sanctions for non-compliance are foreseen but are not yet in place. NEA supports the programme by providing training and information to the municipalities who are responsible for the inspection.<br>Energy managers, required in industrial companies that consume more than 10 000 toe per annum and in commercial, public and transport companies that consume more than 1 000 toe per annum, or in their affiliates Energy Service Companies (ESCOs). Companies that fail to comply with this regulation are not eligible for grants for energy efficiency investments and are liable to be fined.<br>Design for individual billing of heating, air-conditioning and hot water costs. For new buildings and existing buildings undergoing major renovation, it is compulsory to make allowance for individual measurement, but it is not compulsory to install the measuring equipment (Article 2.6 of Law No. 10/91). By requiring it at the design stage, it will be easier to introduce individual metering if it becomes mandatory.<br>Demand Side Management by ENEL. Under the 1991 planning agreement between the Ministry of Industry and ENEL, negotiated under Law 9/91 and covering 1991-1995, ENEL undertook to promote savings in electrical end-uses through technical assistance, advice and information dissemination. Programmes focused on efficient heat pumps for water heating and air conditioning; compact fluorescent light bulbs; solar panels in the residential and commercial sectors; capacitors to improve power factors on customer premises; and cogeneration in small and medium-sized enterprises.<br>Tax relief and the payment by local authorities of incentives to support the adoption of the most efficient technological solutions. Under Law No. 10/91 and Decree 15/02/92, financial contributions were provided to support investments in energy efficiency and renewables in all energy sectors. The main contributions which were made to help industry and the industry sector were stopped in 1994 at the central level but some regional subsidies are still in operation.<br>Local Energy Plans. Law No. 10/91 requires communities with a population of over 50 000 to establish local energy plans with emphasis on renewable energy sources and combined heat and power (CHP). Due to weak administrative management and budget constraints, few plans have been developed so far, with the exceptions of Rome and Turin and some smaller cities like Padua or Rovigo. However, Italian municipalities were to set up their energy budgets and develop reduction plans for the years 2005 and 2010 by December 1998.",ITA
26,26,Poland,2023 Clean Air Programme extensionPart of2022 Clean Air Plus programme extension,Energy efficient retrofits,2023,In force,24502,2023 clean air programme extensionpart of2022 clean air plus programme extension,2023 Clean Air Programme extension,100,"<div>Starting from 3 January 2023, the Polish Clean Air program is extended with additional budget allocations from the government. The program provides subsidies for energy efficiency retrofits of residential buildings and replacement of solid fuel heating sources. The revised subsidy amount ranges from PLN 66,000 to PLN 135,000 and is available to individuals or families with an annual income not exceeding PLN 135,000. Subsidies are provided as direct grants or to cover a portion of a bank loan.</div>",POL
27,27,United States,Inflation Reduction Act 2022: Sec. 13302 Residential Clean Energy CreditPart ofInflation Reduction Act of 2022,MultipleShow budget lines,2022,In force,22020,inflation reduction act 2022 sec 13302 residential clean energy creditpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
28,28,Germany,2nd Relief Package,Energy affordability,2022,Ended,21548,2nd relief package,2nd Relief Package,100,"<div>Second relief package called “Package of federal government measures to manage high energy costs” was presented following the coalition committee decision of 23 March 2022.This includes:<br><br></div><ul><li><strong>One-off energy price lump sum of EUR 300</strong> for all employees who are subject to income tax.</li><li><strong>Temporary nation-wide public transport ticket at EUR 9 per month. </strong>To incentivise public transport over cars, from June 1, 2022 to August 31, 2022 all local public transport can be accessed with a fixed monthly fee of EUR 9.</li><li><strong>Temporary reduction of excise tax on fuels.</strong> For three months from June 1, 2022 to August 31, 2022, the excise tax is reduced by 29.55 cents/litre for petrol and by 14.04 cents/litre for diesel fuel.</li><li><strong>One-time payment to those on social benefits.</strong> Recipients of social welfare receive a one-time payment of EUR 200. For recipients of federal training assistance, a support payment for living expenses pursuant to the Upgrading Training Assistance Act (Aufstiegsfortbildungsförderungsgesetz).</li><li><strong>Child bonus 2022.</strong> One-time payment to parents of EUR 100 euros per child in 2022. Payment made from July 2022.</li></ul><div><br>In the 2023 Federal Budget, the retroactive estimated budget for Package 1 in 2022 is at EUR 18.1 billion. The package was passed as an amendment in the 2022 Federal Supplementary Budget. In the 2023 Federal Budget, the Ministry of Finance announced that almost the entirety of the package budget has been disbursed.</div>",DEU
